"","species","cell","year","elev_factor","arr_GAM_mean","arr_GAM_sd"
"341","Tree Swallow",422,2013,0,124.284,3.91464585252828
"342","Tree Swallow",422,2013,1,129.645666666667,2.41606988449929
"343","Tree Swallow",471,2013,2,78.0106666666667,2.9512917391992
"344","Tree Swallow",471,2013,3,66.5946666666667,9.5716026217037
"345","Tree Swallow",498,2013,1,67.6763333333333,7.70683927946136
"346","Tree Swallow",506,2013,0,125.173666666667,2.50657818555277
"347","Tree Swallow",529,2013,2,83.5956666666667,3.33004669024455
"348","Tree Swallow",529,2013,3,95.732,3.95803798468745
"349","Tree Swallow",529,2013,4,107.889333333333,11.6174326396125
"350","Tree Swallow",534,2013,0,119.354,2.06545540628334
"351","Tree Swallow",557,2013,3,96.7,7.63051384773837
"352","Tree Swallow",558,2013,2,100.004,7.82055226177962
"353","Tree Swallow",558,2013,3,100.421333333333,2.72083550970026
"354","Tree Swallow",558,2013,4,116.309,3.56731844952294
"355","Tree Swallow",558,2013,5,129.775666666667,5.52136786100822
"356","Tree Swallow",563,2013,0,107.683,1.46420363933183
"357","Tree Swallow",567,2013,0,109.155333333333,1.43708963920114
"358","Tree Swallow",589,2013,0,98.882,1.49760595881202
"359","Tree Swallow",590,2013,0,97.276,1.90972240911953
"360","Tree Swallow",591,2013,0,100.350666666667,1.59892205547013
"361","Tree Swallow",592,2013,0,105.346666666667,1.66595739048089
"362","Tree Swallow",594,2013,0,99.708,1.50049541668696
"363","Tree Swallow",594,2013,1,113.311,6.30847667502383
"364","Tree Swallow",595,2013,0,98.7696666666667,1.64565567979078
"365","Tree Swallow",595,2013,1,122.881333333333,13.0287822894109
"366","Tree Swallow",618,2013,0,92.183,1.60344462898667
"367","Tree Swallow",619,2013,0,93.9413333333333,1.48434923555968
"368","Tree Swallow",620,2013,0,98.1746666666667,1.52258474651683
"369","Tree Swallow",621,2013,0,95.7223333333333,1.8026788693287
"370","Tree Swallow",621,2013,1,98.0783333333333,4.24878978382054
"371","Tree Swallow",622,2013,0,93.8976666666667,1.7228418239077
"372","Tree Swallow",622,2013,1,98.6143333333333,7.83386139463412
"373","Tree Swallow",646,2013,0,80.448,2.15147366851548
"374","Tree Swallow",647,2013,0,84.717,2.0237612350552
"375","Tree Swallow",648,2013,0,93.1956666666667,1.989815991019
"376","Tree Swallow",648,2013,1,95.727,2.01208527711612
"377","Tree Swallow",649,2013,0,89.8266666666667,1.9802178271855
"378","Tree Swallow",674,2013,0,68.298,2.1915284466123
"379","Tree Swallow",701,2013,0,55.4566666666667,3.57366001519315
"380","Tree Swallow",701,2013,1,62.5106666666667,12.8551275498792
"381","Tree Swallow",702,2013,0,73.955,3.45402447805915
"382","Tree Swallow",702,2013,1,72.919,2.62832171261592
"383","Tree Swallow",702,2013,2,76.2646666666667,14.562210370654
"384","Tree Swallow",736,2013,0,106.017,2.22673837437838
"385","Tree Swallow",738,2013,0,113.321666666667,2.7639483278471
"386","Tree Swallow",739,2013,0,114.073666666667,2.45823531471459
"387","Tree Swallow",116,2014,0,130.650666666667,3.18287235806038
"388","Tree Swallow",226,2014,0,128.489333333333,5.21257548657956
"389","Tree Swallow",309,2014,1,109.019333333333,9.62637948293849
"390","Tree Swallow",392,2014,1,107.976333333333,6.8734407651146
"391","Tree Swallow",392,2014,2,113.164,1.41672381528285
"392","Tree Swallow",393,2014,1,124.652333333333,2.41289630494454
"393","Tree Swallow",393,2014,2,127.625,4.42917383495915
"394","Tree Swallow",417,2014,0,75.0973333333333,5.35556597549331
"395","Tree Swallow",417,2014,1,73.161,3.83979083604239
"396","Tree Swallow",417,2014,2,79.514,4.47308321978964
"397","Tree Swallow",419,2014,1,95.6726666666667,3.05635403526575
"398","Tree Swallow",422,2014,0,123.993666666667,2.72031124199175
"399","Tree Swallow",422,2014,1,126.207666666667,2.75990584059888
"400","Tree Swallow",471,2014,0,44.3553333333333,3.41188391843077
"401","Tree Swallow",471,2014,1,91.9726666666667,11.1878643624191
"402","Tree Swallow",471,2014,2,65.208,4.34123846966317
"403","Tree Swallow",471,2014,3,75.5866666666667,8.35857508678259
"404","Tree Swallow",498,2014,1,73.6663333333333,7.34449774352137
"405","Tree Swallow",506,2014,0,122.027333333333,3.3357101007403
"406","Tree Swallow",529,2014,2,83.8616666666667,3.48021568143202
"407","Tree Swallow",529,2014,3,106.215666666667,3.01377650772278
"408","Tree Swallow",529,2014,4,104.929333333333,7.69619494909369
"409","Tree Swallow",529,2014,5,126.087333333333,13.5934285590091
"410","Tree Swallow",534,2014,0,112.745666666667,1.7933357856154
"411","Tree Swallow",557,2014,2,98.2446666666667,9.10687194345129
"412","Tree Swallow",557,2014,3,90.592,5.78331089385356
"413","Tree Swallow",557,2014,4,111.883333333333,11.3971204114656
"414","Tree Swallow",558,2014,2,106.894333333333,5.58022229388507
"415","Tree Swallow",558,2014,3,104.993,3.2437311228274
"416","Tree Swallow",558,2014,4,113.149666666667,3.90721836357647
"417","Tree Swallow",558,2014,5,131.207,5.07346669987939
"418","Tree Swallow",563,2014,0,105.287,1.30353266132194
"419","Tree Swallow",567,2014,0,106.147,2.08234716683865
"420","Tree Swallow",589,2014,0,101.905666666667,1.34215064169559
"421","Tree Swallow",590,2014,0,95.0496666666667,1.11098063959252
"422","Tree Swallow",591,2014,0,100.426333333333,1.39614575285322
"423","Tree Swallow",592,2014,0,100.279666666667,1.14770450498628
"424","Tree Swallow",594,2014,0,97.7383333333333,1.76017895838578
"425","Tree Swallow",594,2014,1,114.645666666667,6.43329181964937
